,geometry,Polygon
0,POINT (2.605599 49.00553489969095),16405
0,POINT (2.605599 49.00553489969095),16531
0,POINT (2.605599 49.00553489969095),16532
0,POINT (2.605599 49.00553489969095),16657
0,POINT (2.605599 49.00553489969095),16658
1,POINT (2.605668 49.00552879969097),16405
1,POINT (2.605668 49.00552879969097),16531
1,POINT (2.605668 49.00552879969097),16532
1,POINT (2.605668 49.00552879969097),16657
1,POINT (2.605668 49.00552879969097),16658
2,POINT (2.6057369 49.005522799690986),16405
2,POINT (2.6057369 49.005522799690986),16531
2,POINT (2.6057369 49.005522799690986),16532
2,POINT (2.6057369 49.005522799690986),16657
2,POINT (2.6057369 49.005522799690986),16658
3,POINT (2.6058059 49.005516699690965),16405
3,POINT (2.6058059 49.005516699690965),16531
3,POINT (2.6058059 49.005516699690965),16532
3,POINT (2.6058059 49.005516699690965),16657
3,POINT (2.6058059 49.005516699690965),16658
4,POINT (2.6058748999999994 49.005510699690966),16405
4,POINT (2.6058748999999994 49.005510699690966),16531
4,POINT (2.6058748999999994 49.005510699690966),16532
4,POINT (2.6058748999999994 49.005510699690966),16657
4,POINT (2.6058748999999994 49.005510699690966),16658
5,POINT (2.6059438 49.005504599690966),16405
5,POINT (2.6059438 49.005504599690966),16531
5,POINT (2.6059438 49.005504599690966),16532
5,POINT (2.6059438 49.005504599690966),16657
5,POINT (2.6059438 49.005504599690966),16658
6,POINT (2.6060128 49.00549859969098),16405
6,POINT (2.6060128 49.00549859969098),16531
6,POINT (2.6060128 49.00549859969098),16532
6,POINT (2.6060128 49.00549859969098),16657
6,POINT (2.6060128 49.00549859969098),16658
7,POINT (2.6060817999999997 49.00549249969098),16405
7,POINT (2.6060817999999997 49.00549249969098),16531
7,POINT (2.6060817999999997 49.00549249969098),16532
7,POINT (2.6060817999999997 49.00549249969098),16657
7,POINT (2.6060817999999997 49.00549249969098),16658
8,POINT (2.6061494999999995 49.005486599690975),16405
8,POINT (2.6061494999999995 49.005486599690975),16531
8,POINT (2.6061494999999995 49.005486599690975),16532
8,POINT (2.6061494999999995 49.005486599690975),16657
8,POINT (2.6061494999999995 49.005486599690975),16658
9,POINT (2.6062175999999995 49.005480599690976),16405
9,POINT (2.6062175999999995 49.005480599690976),16531
9,POINT (2.6062175999999995 49.005480599690976),16532
9,POINT (2.6062175999999995 49.005480599690976),16657
9,POINT (2.6062175999999995 49.005480599690976),16658
10,POINT (2.0495797 48.72658729976014),8624
10,POINT (2.0495797 48.72658729976014),8750
10,POINT (2.0495797 48.72658729976014),8751
10,POINT (2.0495797 48.72658729976014),8876
10,POINT (2.0495797 48.72658729976014),8877
11,POINT (2.0193330999999994 48.7331828997585),8245
11,POINT (2.0193330999999994 48.7331828997585),8246
11,POINT (2.0193330999999994 48.7331828997585),8371
11,POINT (2.0193330999999994 48.7331828997585),8372
11,POINT (2.0193330999999994 48.7331828997585),8497
11,POINT (2.0193330999999994 48.7331828997585),8498
12,POINT (2.0666860999999996 48.698862799767014),8879
12,POINT (2.0666860999999996 48.698862799767014),9005
12,POINT (2.0666860999999996 48.698862799767014),9006
12,POINT (2.0666860999999996 48.698862799767014),9131
12,POINT (2.0666860999999996 48.698862799767014),9132
13,POINT (2.0710909000000006 48.703129299765955),9005
13,POINT (2.0710909000000006 48.703129299765955),9130
13,POINT (2.0710909000000006 48.703129299765955),9131
13,POINT (2.0710909000000006 48.703129299765955),9257
14,POINT (2.0815012999999998 48.71520659976294),9129
14,POINT (2.0815012999999998 48.71520659976294),9130
14,POINT (2.0815012999999998 48.71520659976294),9255
14,POINT (2.0815012999999998 48.71520659976294),9256
14,POINT (2.0815012999999998 48.71520659976294),9381
14,POINT (2.0815012999999998 48.71520659976294),9382
15,POINT (2.0378398 48.7049415997655),8501
15,POINT (2.0378398 48.7049415997655),8626
15,POINT (2.0378398 48.7049415997655),8627
15,POINT (2.0378398 48.7049415997655),8752
15,POINT (2.0378398 48.7049415997655),8753
16,POINT (2.0178065 48.68675919977001),8250
16,POINT (2.0178065 48.68675919977001),8251
16,POINT (2.0178065 48.68675919977001),8376
16,POINT (2.0178065 48.68675919977001),8377
16,POINT (2.0178065 48.68675919977001),8503
17,POINT (1.987506 48.70621689976518),7870
17,POINT (1.987506 48.70621689976518),7871
17,POINT (1.987506 48.70621689976518),7996
17,POINT (1.987506 48.70621689976518),7997
18,POINT (2.0449963 48.70611489976521),8626
18,POINT (2.0449963 48.70611489976521),8627
18,POINT (2.0449963 48.70611489976521),8752
18,POINT (2.0449963 48.70611489976521),8753
18,POINT (2.0449963 48.70611489976521),8878
18,POINT (2.0449963 48.70611489976521),8879
19,POINT (2.2156562999999996 48.7828080997462),11012
19,POINT (2.2156562999999996 48.7828080997462),11138
19,POINT (2.2156562999999996 48.7828080997462),11139
19,POINT (2.2156562999999996 48.7828080997462),11264
20,POINT (1.8798103 48.85140709972918),6342
20,POINT (1.8798103 48.85140709972918),6343
20,POINT (1.8798103 48.85140709972918),6468
20,POINT (1.8798103 48.85140709972918),6469
21,POINT (1.8798705 48.85138729972918),6342
21,POINT (1.8798705 48.85138729972918),6343
21,POINT (1.8798705 48.85138729972918),6468
21,POINT (1.8798705 48.85138729972918),6469
22,POINT (1.7973607000000003 48.86563149972564),5081
22,POINT (1.7973607000000003 48.86563149972564),5206
22,POINT (1.7973607000000003 48.86563149972564),5207
22,POINT (1.7973607000000003 48.86563149972564),5332
22,POINT (1.7973607000000003 48.86563149972564),5333
23,POINT (2.0610631 48.80799239973995),8867
23,POINT (2.0610631 48.80799239973995),8868
23,POINT (2.0610631 48.80799239973995),8993
23,POINT (2.0610631 48.80799239973995),8994
23,POINT (2.0610631 48.80799239973995),9119
24,POINT (2.0619643999999995 48.808251199739885),8867
24,POINT (2.0619643999999995 48.808251199739885),8868
24,POINT (2.0619643999999995 48.808251199739885),8993
24,POINT (2.0619643999999995 48.808251199739885),8994
24,POINT (2.0619643999999995 48.808251199739885),9119
25,POINT (2.0647942999999995 48.80862389973978),8867
25,POINT (2.0647942999999995 48.80862389973978),8993
25,POINT (2.0647942999999995 48.80862389973978),8994
25,POINT (2.0647942999999995 48.80862389973978),9119
26,POINT (2.067979 48.80823209973989),8867
26,POINT (2.067979 48.80823209973989),8993
26,POINT (2.067979 48.80823209973989),8994
26,POINT (2.067979 48.80823209973989),9119
26,POINT (2.067979 48.80823209973989),9120
27,POINT (2.0679888 48.80686729974021),8993
27,POINT (2.0679888 48.80686729974021),8994
27,POINT (2.0679888 48.80686729974021),9119
27,POINT (2.0679888 48.80686729974021),9120
28,POINT (2.0682579 48.80608749974041),8993
28,POINT (2.0682579 48.80608749974041),8994
28,POINT (2.0682579 48.80608749974041),9119
28,POINT (2.0682579 48.80608749974041),9120
29,POINT (2.7216415 48.2645486998739),18126
29,POINT (2.7216415 48.2645486998739),18251
29,POINT (2.7216415 48.2645486998739),18252
29,POINT (2.7216415 48.2645486998739),18377
29,POINT (2.7216415 48.2645486998739),18378
30,POINT (2.7216711 48.26455469987389),18126
30,POINT (2.7216711 48.26455469987389),18251
30,POINT (2.7216711 48.26455469987389),18252
30,POINT (2.7216711 48.26455469987389),18377
30,POINT (2.7216711 48.26455469987389),18378
31,POINT (2.7216783999999996 48.26451349987389),18126
31,POINT (2.7216783999999996 48.26451349987389),18251
31,POINT (2.7216783999999996 48.26451349987389),18252
31,POINT (2.7216783999999996 48.26451349987389),18377
31,POINT (2.7216783999999996 48.26451349987389),18378
32,POINT (2.7217086 48.26452079987391),18126
32,POINT (2.7217086 48.26452079987391),18251
32,POINT (2.7217086 48.26452079987391),18252
32,POINT (2.7217086 48.26452079987391),18377
32,POINT (2.7217086 48.26452079987391),18378
33,POINT (2.7207363 48.26382579987406),18126
33,POINT (2.7207363 48.26382579987406),18251
33,POINT (2.7207363 48.26382579987406),18252
33,POINT (2.7207363 48.26382579987406),18378
34,POINT (2.7207537 48.26377909987407),18126
34,POINT (2.7207537 48.26377909987407),18251
34,POINT (2.7207537 48.26377909987407),18252
34,POINT (2.7207537 48.26377909987407),18378
35,POINT (2.7207826 48.263823999874084),18126
35,POINT (2.7207826 48.263823999874084),18251
35,POINT (2.7207826 48.263823999874084),18252
35,POINT (2.7207826 48.263823999874084),18378
36,POINT (2.7207933 48.26377959987408),18126
36,POINT (2.7207933 48.26377959987408),18251
36,POINT (2.7207933 48.26377959987408),18252
36,POINT (2.7207933 48.26377959987408),18378
37,POINT (2.1373555 48.674292899773086),9890
37,POINT (2.1373555 48.674292899773086),10016
37,POINT (2.1373555 48.674292899773086),10017
37,POINT (2.1373555 48.674292899773086),10142
38,POINT (2.354298 48.859745899727116),12893
38,POINT (2.354298 48.859745899727116),13019
38,POINT (2.354298 48.859745899727116),13020
38,POINT (2.354298 48.859745899727116),13145
38,POINT (2.354298 48.859745899727116),13146
39,POINT (2.3783959999999995 48.87270589972389),13270
39,POINT (2.3783959999999995 48.87270589972389),13396
39,POINT (2.3783959999999995 48.87270589972389),13397
39,POINT (2.3783959999999995 48.87270589972389),13522
40,POINT (2.3775536999999995 48.84747169973015),13273
40,POINT (2.3775536999999995 48.84747169973015),13398
40,POINT (2.3775536999999995 48.84747169973015),13399
40,POINT (2.3775536999999995 48.84747169973015),13525
41,POINT (2.3775120999999997 48.84749769973015),13273
41,POINT (2.3775120999999997 48.84749769973015),13398
41,POINT (2.3775120999999997 48.84749769973015),13399
41,POINT (2.3775120999999997 48.84749769973015),13525
42,POINT (2.3774657999999995 48.84752419973015),13273
42,POINT (2.3774657999999995 48.84752419973015),13398
42,POINT (2.3774657999999995 48.84752419973015),13399
42,POINT (2.3774657999999995 48.84752419973015),13525
43,POINT (2.3774161999999994 48.84755369973011),13273
43,POINT (2.3774161999999994 48.84755369973011),13398
43,POINT (2.3774161999999994 48.84755369973011),13399
43,POINT (2.3774161999999994 48.84755369973011),13525
44,POINT (2.3777723 48.847339299730194),13273
44,POINT (2.3777723 48.847339299730194),13398
44,POINT (2.3777723 48.847339299730194),13399
44,POINT (2.3777723 48.847339299730194),13525
45,POINT (2.3777213 48.84737329973018),13273
45,POINT (2.3777213 48.84737329973018),13398
45,POINT (2.3777213 48.84737329973018),13399
45,POINT (2.3777213 48.84737329973018),13525
46,POINT (2.3361603999999994 48.84258839973134),12643
46,POINT (2.3361603999999994 48.84258839973134),12769
46,POINT (2.3361603999999994 48.84258839973134),12770
46,POINT (2.3361603999999994 48.84258839973134),12895
46,POINT (2.3361603999999994 48.84258839973134),12896
47,POINT (2.2919901999999994 48.88234059972151),12009
47,POINT (2.2919901999999994 48.88234059972151),12134
47,POINT (2.2919901999999994 48.88234059972151),12135
47,POINT (2.2919901999999994 48.88234059972151),12261
48,POINT (2.3151877 48.886130299720556),12386
48,POINT (2.3151877 48.886130299720556),12387
48,POINT (2.3151877 48.886130299720556),12512
48,POINT (2.3151877 48.886130299720556),12513
48,POINT (2.3151877 48.886130299720556),12638
48,POINT (2.3151877 48.886130299720556),12639
49,POINT (2.3260433 48.872335599723975),12514
49,POINT (2.3260433 48.872335599723975),12640
49,POINT (2.3260433 48.872335599723975),12641
49,POINT (2.3260433 48.872335599723975),12766
50,POINT (2.3305875999999994 48.88461369972094),12638
50,POINT (2.3305875999999994 48.88461369972094),12639
50,POINT (2.3305875999999994 48.88461369972094),12764
50,POINT (2.3305875999999994 48.88461369972094),12765
50,POINT (2.3305875999999994 48.88461369972094),12891
51,POINT (2.3510143 48.839332699732175),12895
51,POINT (2.3510143 48.839332699732175),12896
51,POINT (2.3510143 48.839332699732175),13021
51,POINT (2.3510143 48.839332699732175),13022
51,POINT (2.3510143 48.839332699732175),13148
52,POINT (2.3512314 48.82040859973688),12898
52,POINT (2.3512314 48.82040859973688),13023
52,POINT (2.3512314 48.82040859973688),13024
52,POINT (2.3512314 48.82040859973688),13150
53,POINT (2.3646794 48.86243569972644),13019
53,POINT (2.3646794 48.86243569972644),13145
53,POINT (2.3646794 48.86243569972644),13146
53,POINT (2.3646794 48.86243569972644),13271
53,POINT (2.3646794 48.86243569972644),13272
54,POINT (2.3710184999999995 48.899423199717276),13141
54,POINT (2.3710184999999995 48.899423199717276),13267
54,POINT (2.3710184999999995 48.899423199717276),13268
54,POINT (2.3710184999999995 48.899423199717276),13393
55,POINT (2.3809652999999997 48.82786629973501),13275
55,POINT (2.3809652999999997 48.82786629973501),13401
55,POINT (2.3809652999999997 48.82786629973501),13527
56,POINT (2.3955136 48.845820599730565),13525
56,POINT (2.3955136 48.845820599730565),13651
56,POINT (2.3955136 48.845820599730565),13652
56,POINT (2.3955136 48.845820599730565),13777
57,POINT (2.3453082 48.87038969972445),12766
57,POINT (2.3453082 48.87038969972445),12892
57,POINT (2.3453082 48.87038969972445),12893
57,POINT (2.3453082 48.87038969972445),13018
57,POINT (2.3453082 48.87038969972445),13019
58,POINT (2.3085854 48.83379899973353),12266
58,POINT (2.3085854 48.83379899973353),12392
58,POINT (2.3085854 48.83379899973353),12393
58,POINT (2.3085854 48.83379899973353),12518
58,POINT (2.3085854 48.83379899973353),12519
59,POINT (2.1373702 48.673845899773205),9890
59,POINT (2.1373702 48.673845899773205),10016
59,POINT (2.1373702 48.673845899773205),10017
59,POINT (2.1373702 48.673845899773205),10142
60,POINT (2.7439064999999996 49.02568459968597),18419
60,POINT (2.7439064999999996 49.02568459968597),18545
60,POINT (2.7439064999999996 49.02568459968597),18671
61,POINT (2.8289177 49.00922079969004),19555
61,POINT (2.8289177 49.00922079969004),19680
61,POINT (2.8289177 49.00922079969004),19681
61,POINT (2.8289177 49.00922079969004),19807
62,POINT (3.2446243 48.70209269976621),25385
62,POINT (3.2446243 48.70209269976621),25511
62,POINT (3.2446243 48.70209269976621),25637
63,POINT (3.3435713999999996 48.69385279976825),26772
63,POINT (3.3435713999999996 48.69385279976825),26897
63,POINT (3.3435713999999996 48.69385279976825),26898
63,POINT (3.3435713999999996 48.69385279976825),27024
64,POINT (3.0033122 48.69031379976913),22110
64,POINT (3.0033122 48.69031379976913),22111
64,POINT (3.0033122 48.69031379976913),22236
64,POINT (3.0033122 48.69031379976913),22237
65,POINT (3.2265267999999994 48.684583799770564),25135
65,POINT (3.2265267999999994 48.684583799770564),25260
65,POINT (3.2265267999999994 48.684583799770564),25261
65,POINT (3.2265267999999994 48.684583799770564),25387
66,POINT (2.8415321999999996 48.66430699977557),19845
66,POINT (2.8415321999999996 48.66430699977557),19846
66,POINT (2.8415321999999996 48.66430699977557),19971
66,POINT (2.8415321999999996 48.66430699977557),19972
67,POINT (2.9076796 48.75395449975335),20717
67,POINT (2.9076796 48.75395449975335),20718
67,POINT (2.9076796 48.75395449975335),20843
67,POINT (2.9076796 48.75395449975335),20844
67,POINT (2.9076796 48.75395449975335),20969
68,POINT (2.6351535 48.51532879981239),16963
68,POINT (2.6351535 48.51532879981239),16964
68,POINT (2.6351535 48.51532879981239),17089
68,POINT (2.6351535 48.51532879981239),17090
68,POINT (2.6351535 48.51532879981239),17216
69,POINT (3.1395391 48.476562999821965),24024
69,POINT (3.1395391 48.476562999821965),24025
69,POINT (3.1395391 48.476562999821965),24150
69,POINT (3.1395391 48.476562999821965),24151
69,POINT (3.1395391 48.476562999821965),24276
70,POINT (2.7002349 48.548372999804236),17842
70,POINT (2.7002349 48.548372999804236),17968
70,POINT (2.7002349 48.548372999804236),17969
70,POINT (2.7002349 48.548372999804236),18094
71,POINT (2.6544004 48.24352979987901),17246
71,POINT (2.6544004 48.24352979987901),17372
71,POINT (2.6544004 48.24352979987901),17373
71,POINT (2.6544004 48.24352979987901),17498
72,POINT (3.2384443 48.85007729972952),25368
72,POINT (3.2384443 48.85007729972952),25369
72,POINT (3.2384443 48.85007729972952),25494
72,POINT (3.2384443 48.85007729972952),25495
73,POINT (2.8289542 48.57823129979686),19603
73,POINT (2.8289542 48.57823129979686),19728
73,POINT (2.8289542 48.57823129979686),19729
73,POINT (2.8289542 48.57823129979686),19854
73,POINT (2.8289542 48.57823129979686),19855
74,POINT (3.0234258 48.42197839983538),22392
74,POINT (3.0234258 48.42197839983538),22393
74,POINT (3.0234258 48.42197839983538),22518
74,POINT (3.0234258 48.42197839983538),22519
74,POINT (3.0234258 48.42197839983538),22644
75,POINT (2.5821205 48.59658619979232),16198
75,POINT (2.5821205 48.59658619979232),16199
75,POINT (2.5821205 48.59658619979232),16324
75,POINT (2.5821205 48.59658619979232),16325
75,POINT (2.5821205 48.59658619979232),16451
76,POINT (3.0802462999999998 48.6883850997696),23118
76,POINT (3.0802462999999998 48.6883850997696),23119
76,POINT (3.0802462999999998 48.6883850997696),23244
76,POINT (3.0802462999999998 48.6883850997696),23245
76,POINT (3.0802462999999998 48.6883850997696),23370
76,POINT (3.0802462999999998 48.6883850997696),23371
77,POINT (2.9691242 48.282536299869506),21651
77,POINT (2.9691242 48.282536299869506),21652
77,POINT (2.9691242 48.282536299869506),21777
77,POINT (2.9691242 48.282536299869506),21778
77,POINT (2.9691242 48.282536299869506),21904
78,POINT (2.5319852999999997 48.27910979987035),15478
78,POINT (2.5319852999999997 48.27910979987035),15604
78,POINT (2.5319852999999997 48.27910979987035),15605
78,POINT (2.5319852999999997 48.27910979987035),15730
79,POINT (3.0216445 48.978707599697614),22330
79,POINT (3.0216445 48.978707599697614),22331
79,POINT (3.0216445 48.978707599697614),22456
79,POINT (3.0216445 48.978707599697614),22457
79,POINT (3.0216445 48.978707599697614),22582
80,POINT (3.1467100999999995 48.39881719984107),24033
80,POINT (3.1467100999999995 48.39881719984107),24158
80,POINT (3.1467100999999995 48.39881719984107),24159
80,POINT (3.1467100999999995 48.39881719984107),24284
80,POINT (3.1467100999999995 48.39881719984107),24285
81,POINT (2.6033822999999994 48.44494139982974),16467
81,POINT (2.6033822999999994 48.44494139982974),16468
81,POINT (2.6033822999999994 48.44494139982974),16593
81,POINT (2.6033822999999994 48.44494139982974),16594
81,POINT (2.6033822999999994 48.44494139982974),16719
81,POINT (2.6033822999999994 48.44494139982974),16720
82,POINT (3.1883419999999996 48.398641799841116),24663
82,POINT (3.1883419999999996 48.398641799841116),24788
82,POINT (3.1883419999999996 48.398641799841116),24789
82,POINT (3.1883419999999996 48.398641799841116),24915
83,POINT (2.4784171000000006 48.13933399990426),14737
83,POINT (2.4784171000000006 48.13933399990426),14738
83,POINT (2.4784171000000006 48.13933399990426),14863
83,POINT (2.4784171000000006 48.13933399990426),14864
83,POINT (2.4784171000000006 48.13933399990426),14989
83,POINT (2.4784171000000006 48.13933399990426),14990
84,POINT (3.3181776 48.85721009972773),26501
84,POINT (3.3181776 48.85721009972773),26502
84,POINT (3.3181776 48.85721009972773),26627
84,POINT (3.3181776 48.85721009972773),26628
85,POINT (2.9382505999999995 48.675091899772895),21104
85,POINT (2.9382505999999995 48.675091899772895),21230
85,POINT (2.9382505999999995 48.675091899772895),21356
86,POINT (3.2428272 48.67801479977216),25388
86,POINT (3.2428272 48.67801479977216),25513
86,POINT (3.2428272 48.67801479977216),25514
86,POINT (3.2428272 48.67801479977216),25639
86,POINT (3.2428272 48.67801479977216),25640
87,POINT (2.5883885999999996 48.526666999809606),16332
87,POINT (2.5883885999999996 48.526666999809606),16333
87,POINT (2.5883885999999996 48.526666999809606),16458
87,POINT (2.5883885999999996 48.526666999809606),16459
88,POINT (2.5705933999999995 48.52544579980991),15955
88,POINT (2.5705933999999995 48.52544579980991),16080
88,POINT (2.5705933999999995 48.52544579980991),16081
88,POINT (2.5705933999999995 48.52544579980991),16206
88,POINT (2.5705933999999995 48.52544579980991),16207
89,POINT (2.5618366 48.503135999815406),15831
89,POINT (2.5618366 48.503135999815406),15957
89,POINT (2.5618366 48.503135999815406),15958
89,POINT (2.5618366 48.503135999815406),16083
89,POINT (2.5618366 48.503135999815406),16084
90,POINT (3.136526 48.82086099973675),23860
90,POINT (3.136526 48.82086099973675),23985
90,POINT (3.136526 48.82086099973675),23986
90,POINT (3.136526 48.82086099973675),24111
90,POINT (3.136526 48.82086099973675),24112
91,POINT (3.2598977999999996 48.89591689971814),25615
91,POINT (3.2598977999999996 48.89591689971814),25616
91,POINT (3.2598977999999996 48.89591689971814),25741
91,POINT (3.2598977999999996 48.89591689971814),25742
91,POINT (3.2598977999999996 48.89591689971814),25867
91,POINT (3.2598977999999996 48.89591689971814),25868
92,POINT (2.6575761 48.19557229989066),17251
92,POINT (2.6575761 48.19557229989066),17252
92,POINT (2.6575761 48.19557229989066),17377
92,POINT (2.6575761 48.19557229989066),17378
92,POINT (2.6575761 48.19557229989066),17503
92,POINT (2.6575761 48.19557229989066),17504
93,POINT (3.2379322 48.41693579983661),25416
93,POINT (3.2379322 48.41693579983661),25417
93,POINT (3.2379322 48.41693579983661),25542
93,POINT (3.2379322 48.41693579983661),25543
93,POINT (3.2379322 48.41693579983661),25669
94,POINT (3.1247774999999995 48.791028299744156),23737
94,POINT (3.1247774999999995 48.791028299744156),23863
94,POINT (3.1247774999999995 48.791028299744156),23864
94,POINT (3.1247774999999995 48.791028299744156),23989
95,POINT (3.3144096999999997 48.52909059980902),26412
95,POINT (3.3144096999999997 48.52909059980902),26538
95,POINT (3.3144096999999997 48.52909059980902),26539
95,POINT (3.3144096999999997 48.52909059980902),26664
95,POINT (3.3144096999999997 48.52909059980902),26665
96,POINT (2.7603112999999997 48.97100999969952),18551
96,POINT (2.7603112999999997 48.97100999969952),18677
96,POINT (2.7603112999999997 48.97100999969952),18678
96,POINT (2.7603112999999997 48.97100999969952),18803
96,POINT (2.7603112999999997 48.97100999969952),18804
97,POINT (2.7008471999999997 48.48867849981895),17848
97,POINT (2.7008471999999997 48.48867849981895),17849
97,POINT (2.7008471999999997 48.48867849981895),17974
97,POINT (2.7008471999999997 48.48867849981895),17975
97,POINT (2.7008471999999997 48.48867849981895),18101
98,POINT (3.0967479 48.41957559983597),23400
98,POINT (3.0967479 48.41957559983597),23401
98,POINT (3.0967479 48.41957559983597),23526
98,POINT (3.0967479 48.41957559983597),23527
98,POINT (3.0967479 48.41957559983597),23652
98,POINT (3.0967479 48.41957559983597),23653
99,POINT (2.62648 48.23362379988139),16869
99,POINT (2.62648 48.23362379988139),16870
99,POINT (2.62648 48.23362379988139),16995
99,POINT (2.62648 48.23362379988139),16996
99,POINT (2.62648 48.23362379988139),17121
100,POINT (2.8350569 48.52964239980887),19734
100,POINT (2.8350569 48.52964239980887),19735
100,POINT (2.8350569 48.52964239980887),19860
100,POINT (2.8350569 48.52964239980887),19861
100,POINT (2.8350569 48.52964239980887),19986
101,POINT (2.8375841999999993 48.97342469969892),19685
101,POINT (2.8375841999999993 48.97342469969892),19810
101,POINT (2.8375841999999993 48.97342469969892),19811
101,POINT (2.8375841999999993 48.97342469969892),19937
102,POINT (3.1840648999999996 48.817728999737525),24616
102,POINT (3.1840648999999996 48.817728999737525),24617
102,POINT (3.1840648999999996 48.817728999737525),24742
102,POINT (3.1840648999999996 48.817728999737525),24743
102,POINT (3.1840648999999996 48.817728999737525),24868
103,POINT (3.1951083999999996 48.61637989978743),24764
103,POINT (3.1951083999999996 48.61637989978743),24765
103,POINT (3.1951083999999996 48.61637989978743),24890
103,POINT (3.1951083999999996 48.61637989978743),24891
103,POINT (3.1951083999999996 48.61637989978743),25016
103,POINT (3.1951083999999996 48.61637989978743),25017
104,POINT (3.2198794 48.758823099752156),25126
104,POINT (3.2198794 48.758823099752156),25127
104,POINT (3.2198794 48.758823099752156),25252
104,POINT (3.2198794 48.758823099752156),25253
105,POINT (2.9745382 49.00689479969063),21571
105,POINT (2.9745382 49.00689479969063),21697
105,POINT (2.9745382 49.00689479969063),21698
105,POINT (2.9745382 49.00689479969063),21823
106,POINT (2.9606541 48.64774499977966),21485
106,POINT (2.9606541 48.64774499977966),21611
106,POINT (2.9606541 48.64774499977966),21612
106,POINT (2.9606541 48.64774499977966),21737
107,POINT (2.9985145 48.46997029982357),22009
107,POINT (2.9985145 48.46997029982357),22134
107,POINT (2.9985145 48.46997029982357),22135
107,POINT (2.9985145 48.46997029982357),22261
108,POINT (2.90673 48.85811129972752),20705
108,POINT (2.90673 48.85811129972752),20706
108,POINT (2.90673 48.85811129972752),20831
108,POINT (2.90673 48.85811129972752),20832
108,POINT (2.90673 48.85811129972752),20958
109,POINT (2.9090388999999996 48.85791239972755),20705
109,POINT (2.9090388999999996 48.85791239972755),20706
109,POINT (2.9090388999999996 48.85791239972755),20831
109,POINT (2.9090388999999996 48.85791239972755),20832
109,POINT (2.9090388999999996 48.85791239972755),20957
109,POINT (2.9090388999999996 48.85791239972755),20958
110,POINT (2.684942 49.05384799967898),17534
110,POINT (2.684942 49.05384799967898),17659
110,POINT (2.684942 49.05384799967898),17660
110,POINT (2.684942 49.05384799967898),17786
111,POINT (2.9451845999999997 48.46351799982518),21253
111,POINT (2.9451845999999997 48.46351799982518),21254
111,POINT (2.9451845999999997 48.46351799982518),21379
111,POINT (2.9451845999999997 48.46351799982518),21380
111,POINT (2.9451845999999997 48.46351799982518),21505
111,POINT (2.9451845999999997 48.46351799982518),21506
112,POINT (2.6743629999999996 48.23065599988214),17499
112,POINT (2.6743629999999996 48.23065599988214),17500
112,POINT (2.6743629999999996 48.23065599988214),17625
112,POINT (2.6743629999999996 48.23065599988214),17626
112,POINT (2.6743629999999996 48.23065599988214),17751
112,POINT (2.6743629999999996 48.23065599988214),17752
113,POINT (2.9226495 48.31219029986226),21018
113,POINT (2.9226495 48.31219029986226),21019
113,POINT (2.9226495 48.31219029986226),21144
113,POINT (2.9226495 48.31219029986226),21145
114,POINT (3.3915956999999994 48.413915499837366),27559
114,POINT (3.3915956999999994 48.413915499837366),27685
114,POINT (3.3915956999999994 48.413915499837366),27686
114,POINT (3.3915956999999994 48.413915499837366),27811
115,POINT (2.9521161 48.55581899980241),21369
115,POINT (2.9521161 48.55581899980241),21370
115,POINT (2.9521161 48.55581899980241),21495
115,POINT (2.9521161 48.55581899980241),21496
115,POINT (2.9521161 48.55581899980241),21621
116,POINT (2.9614039 48.41898629983612),21510
116,POINT (2.9614039 48.41898629983612),21511
116,POINT (2.9614039 48.41898629983612),21636
116,POINT (2.9614039 48.41898629983612),21637
116,POINT (2.9614039 48.41898629983612),21762
116,POINT (2.9614039 48.41898629983612),21763
117,POINT (2.7442616 48.93985039970723),18428
117,POINT (2.7442616 48.93985039970723),18429
117,POINT (2.7442616 48.93985039970723),18554
117,POINT (2.7442616 48.93985039970723),18555
117,POINT (2.7442616 48.93985039970723),18681
118,POINT (3.2935358999999997 48.482586799820474),26165
118,POINT (3.2935358999999997 48.482586799820474),26166
118,POINT (3.2935358999999997 48.482586799820474),26291
118,POINT (3.2935358999999997 48.482586799820474),26292
118,POINT (3.2935358999999997 48.482586799820474),26417
119,POINT (3.1204847000000004 48.39846709984115),23780
119,POINT (3.1204847000000004 48.39846709984115),23781
119,POINT (3.1204847000000004 48.39846709984115),23906
119,POINT (3.1204847000000004 48.39846709984115),23907
120,POINT (2.9579865 48.822293999736395),21465
120,POINT (2.9579865 48.822293999736395),21466
120,POINT (2.9579865 48.822293999736395),21591
120,POINT (2.9579865 48.822293999736395),21592
121,POINT (3.3492939 48.48342039982026),26921
121,POINT (3.3492939 48.48342039982026),26922
121,POINT (3.3492939 48.48342039982026),27047
121,POINT (3.3492939 48.48342039982026),27048
121,POINT (3.3492939 48.48342039982026),27173
121,POINT (3.3492939 48.48342039982026),27174
122,POINT (2.8259562 48.91248759971403),19565
122,POINT (2.8259562 48.91248759971403),19566
122,POINT (2.8259562 48.91248759971403),19691
122,POINT (2.8259562 48.91248759971403),19692
122,POINT (2.8259562 48.91248759971403),19818
123,POINT (3.1238006999999994 48.927674499710264),23722
123,POINT (3.1238006999999994 48.927674499710264),23847
123,POINT (3.1238006999999994 48.927674499710264),23848
123,POINT (3.1238006999999994 48.927674499710264),23974
124,POINT (3.0214172 48.343335399854666),22401
