,X,Y,com_insee,com_nom,acc,Type,geometry,0
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21391
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21516
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21517
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21642
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21643
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12764
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12889
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12890
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),13016
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17621
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17747
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17748
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17873
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17874
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20480
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20481
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20606
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20607
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20733
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19595
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19596
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19721
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19722
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19847
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17180
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17305
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17306
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17431
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17432
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17180
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17305
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17306
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17431
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17432
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17180
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17305
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17306
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17431
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17432
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17306
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17307
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17432
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17433
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17558
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17180
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17306
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17307
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17432
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17433
10,2.6589912,48.8348112997333,77468,Torcy,Intérieur,aed,POINT (2.6589912 48.8348112997333),17180
10,2.6589912,48.8348112997333,77468,Torcy,Intérieur,aed,POINT (2.6589912 48.8348112997333),17306
10,2.6589912,48.8348112997333,77468,Torcy,Intérieur,aed,POINT (2.6589912 48.8348112997333),17307
10,2.6589912,48.8348112997333,77468,Torcy,Intérieur,aed,POINT (2.6589912 48.8348112997333),17432
10,2.6589912,48.8348112997333,77468,Torcy,Intérieur,aed,POINT (2.6589912 48.8348112997333),17433
11,2.6612276,48.836220199733,77121,Collégien,Intérieur,aed,POINT (2.6612276 48.836220199733),17180
11,2.6612276,48.836220199733,77121,Collégien,Intérieur,aed,POINT (2.6612276 48.836220199733),17306
11,2.6612276,48.836220199733,77121,Collégien,Intérieur,aed,POINT (2.6612276 48.836220199733),17307
11,2.6612276,48.836220199733,77121,Collégien,Intérieur,aed,POINT (2.6612276 48.836220199733),17432
11,2.6612276,48.836220199733,77121,Collégien,Intérieur,aed,POINT (2.6612276 48.836220199733),17433
12,2.6580074,48.8303479997344,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6580074 48.8303479997344),17181
12,2.6580074,48.8303479997344,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6580074 48.8303479997344),17306
12,2.6580074,48.8303479997344,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6580074 48.8303479997344),17307
12,2.6580074,48.8303479997344,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6580074 48.8303479997344),17432
12,2.6580074,48.8303479997344,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6580074 48.8303479997344),17433
13,2.6594907,48.827916599735,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6594907 48.827916599735),17181
13,2.6594907,48.827916599735,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6594907 48.827916599735),17307
13,2.6594907,48.827916599735,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6594907 48.827916599735),17433
14,2.6604778,48.8312140997342,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6604778 48.8312140997342),17181
14,2.6604778,48.8312140997342,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6604778 48.8312140997342),17306
14,2.6604778,48.8312140997342,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6604778 48.8312140997342),17307
14,2.6604778,48.8312140997342,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6604778 48.8312140997342),17432
14,2.6604778,48.8312140997342,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6604778 48.8312140997342),17433
15,2.6587688,48.8339716997335,77468,Torcy,Intérieur,aed,POINT (2.6587688 48.8339716997335),17180
15,2.6587688,48.8339716997335,77468,Torcy,Intérieur,aed,POINT (2.6587688 48.8339716997335),17306
15,2.6587688,48.8339716997335,77468,Torcy,Intérieur,aed,POINT (2.6587688 48.8339716997335),17307
15,2.6587688,48.8339716997335,77468,Torcy,Intérieur,aed,POINT (2.6587688 48.8339716997335),17432
15,2.6587688,48.8339716997335,77468,Torcy,Intérieur,aed,POINT (2.6587688 48.8339716997335),17433
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17180
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17181
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17306
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17307
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17432
16,2.6582174,48.8337039997336,77468,Torcy,Intérieur,aed,POINT (2.6582174 48.8337039997336),17433
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18187
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18188
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18313
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18314
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18439
17,2.7315474,48.8416722997316,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7315474 48.8416722997316),18440
18,2.7455212,48.8305499997344,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7455212 48.8305499997344),18440
18,2.7455212,48.8305499997344,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7455212 48.8305499997344),18441
18,2.7455212,48.8305499997344,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7455212 48.8305499997344),18566
18,2.7455212,48.8305499997344,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7455212 48.8305499997344),18567
18,2.7455212,48.8305499997344,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7455212 48.8305499997344),18693
19,2.7533,48.8566261997279,77085,Chanteloup-en-Brie,Intérieur,aed,POINT (2.7533 48.8566261997279),18563
19,2.7533,48.8566261997279,77085,Chanteloup-en-Brie,Intérieur,aed,POINT (2.7533 48.8566261997279),18564
19,2.7533,48.8566261997279,77085,Chanteloup-en-Brie,Intérieur,aed,POINT (2.7533 48.8566261997279),18689
19,2.7533,48.8566261997279,77085,Chanteloup-en-Brie,Intérieur,aed,POINT (2.7533 48.8566261997279),18690
19,2.7533,48.8566261997279,77085,Chanteloup-en-Brie,Intérieur,aed,POINT (2.7533 48.8566261997279),18816
20,2.6485057,48.8257781997355,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6485057 48.8257781997355),17055
20,2.6485057,48.8257781997355,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6485057 48.8257781997355),17181
20,2.6485057,48.8257781997355,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6485057 48.8257781997355),17182
20,2.6485057,48.8257781997355,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6485057 48.8257781997355),17307
20,2.6485057,48.8257781997355,77146,Croissy-Beaubourg,Intérieur,aed,POINT (2.6485057 48.8257781997355),17308
21,2.652238,48.8497957997296,77468,Torcy,Intérieur,aed,POINT (2.652238 48.8497957997296),17178
21,2.652238,48.8497957997296,77468,Torcy,Intérieur,aed,POINT (2.652238 48.8497957997296),17179
21,2.652238,48.8497957997296,77468,Torcy,Intérieur,aed,POINT (2.652238 48.8497957997296),17304
21,2.652238,48.8497957997296,77468,Torcy,Intérieur,aed,POINT (2.652238 48.8497957997296),17305
22,2.6526109,48.8494120997297,77468,Torcy,Intérieur,aed,POINT (2.6526109 48.8494120997297),17178
22,2.6526109,48.8494120997297,77468,Torcy,Intérieur,aed,POINT (2.6526109 48.8494120997297),17179
22,2.6526109,48.8494120997297,77468,Torcy,Intérieur,aed,POINT (2.6526109 48.8494120997297),17304
22,2.6526109,48.8494120997297,77468,Torcy,Intérieur,aed,POINT (2.6526109 48.8494120997297),17305
23,2.6537776,48.8499633997295,77468,Torcy,Intérieur,aed,POINT (2.6537776 48.8499633997295),17178
23,2.6537776,48.8499633997295,77468,Torcy,Intérieur,aed,POINT (2.6537776 48.8499633997295),17179
23,2.6537776,48.8499633997295,77468,Torcy,Intérieur,aed,POINT (2.6537776 48.8499633997295),17304
23,2.6537776,48.8499633997295,77468,Torcy,Intérieur,aed,POINT (2.6537776 48.8499633997295),17305
24,2.7075563,48.8370795997327,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7075563 48.8370795997327),17936
24,2.7075563,48.8370795997327,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7075563 48.8370795997327),18062
24,2.7075563,48.8370795997327,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7075563 48.8370795997327),18188
25,2.5914919,48.5966354997923,77445,Savigny-le-Temple,Intérieur,aed,POINT (2.5914919 48.5966354997923),16324
25,2.5914919,48.5966354997923,77445,Savigny-le-Temple,Intérieur,aed,POINT (2.5914919 48.5966354997923),16325
25,2.5914919,48.5966354997923,77445,Savigny-le-Temple,Intérieur,aed,POINT (2.5914919 48.5966354997923),16450
25,2.5914919,48.5966354997923,77445,Savigny-le-Temple,Intérieur,aed,POINT (2.5914919 48.5966354997923),16451
25,2.5914919,48.5966354997923,77445,Savigny-le-Temple,Intérieur,aed,POINT (2.5914919 48.5966354997923),16577
26,2.4776686,48.7188406997621,91691,Yerres,Intérieur,aed,POINT (2.4776686 48.7188406997621),14673
26,2.4776686,48.7188406997621,91691,Yerres,Intérieur,aed,POINT (2.4776686 48.7188406997621),14799
26,2.4776686,48.7188406997621,91691,Yerres,Intérieur,aed,POINT (2.4776686 48.7188406997621),14800
26,2.4776686,48.7188406997621,91691,Yerres,Intérieur,aed,POINT (2.4776686 48.7188406997621),14925
27,2.4749468,48.7199332997618,91191,Crosne,Extérieur,aed,POINT (2.4749468 48.7199332997618),14673
27,2.4749468,48.7199332997618,91191,Crosne,Extérieur,aed,POINT (2.4749468 48.7199332997618),14799
27,2.4749468,48.7199332997618,91191,Crosne,Extérieur,aed,POINT (2.4749468 48.7199332997618),14800
27,2.4749468,48.7199332997618,91191,Crosne,Extérieur,aed,POINT (2.4749468 48.7199332997618),14925
28,2.7435716,48.3357857998565,77312,Montigny-sur-Loing,Extérieur,aed,POINT (2.7435716 48.3357857998565),18495
28,2.7435716,48.3357857998565,77312,Montigny-sur-Loing,Extérieur,aed,POINT (2.7435716 48.3357857998565),18496
28,2.7435716,48.3357857998565,77312,Montigny-sur-Loing,Extérieur,aed,POINT (2.7435716 48.3357857998565),18621
28,2.7435716,48.3357857998565,77312,Montigny-sur-Loing,Extérieur,aed,POINT (2.7435716 48.3357857998565),18622
28,2.7435716,48.3357857998565,77312,Montigny-sur-Loing,Extérieur,aed,POINT (2.7435716 48.3357857998565),18748
29,2.9285595,48.370420799848,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9285595 48.370420799848),21012
29,2.9285595,48.370420799848,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9285595 48.370420799848),21137
29,2.9285595,48.370420799848,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9285595 48.370420799848),21138
29,2.9285595,48.370420799848,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9285595 48.370420799848),21264
30,2.9293838,48.3761942998466,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9293838 48.3761942998466),21011
30,2.9293838,48.3761942998466,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9293838 48.3761942998466),21137
30,2.9293838,48.3761942998466,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9293838 48.3761942998466),21138
30,2.9293838,48.3761942998466,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9293838 48.3761942998466),21263
30,2.9293838,48.3761942998466,77482,Varennes-sur-Seine,Intérieur,aed,POINT (2.9293838 48.3761942998466),21264
31,2.6033845,48.3404805998554,77477,Ury,Extérieur,aed,POINT (2.6033845 48.3404805998554),16479
31,2.6033845,48.3404805998554,77477,Ury,Extérieur,aed,POINT (2.6033845 48.3404805998554),16605
31,2.6033845,48.3404805998554,77477,Ury,Extérieur,aed,POINT (2.6033845 48.3404805998554),16606
31,2.6033845,48.3404805998554,77477,Ury,Extérieur,aed,POINT (2.6033845 48.3404805998554),16731
31,2.6033845,48.3404805998554,77477,Ury,Extérieur,aed,POINT (2.6033845 48.3404805998554),16732
32,2.6018138,48.3428331998548,77477,Ury,Extérieur,aed,POINT (2.6018138 48.3428331998548),16479
32,2.6018138,48.3428331998548,77477,Ury,Extérieur,aed,POINT (2.6018138 48.3428331998548),16605
32,2.6018138,48.3428331998548,77477,Ury,Extérieur,aed,POINT (2.6018138 48.3428331998548),16731
33,2.6531818,48.5221850998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.6531818 48.5221850998107),17215
33,2.6531818,48.5221850998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.6531818 48.5221850998107),17341
33,2.6531818,48.5221850998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.6531818 48.5221850998107),17467
34,2.652978,48.5223857998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.652978 48.5223857998107),17215
34,2.652978,48.5223857998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.652978 48.5223857998107),17341
34,2.652978,48.5223857998107,77152,Dammarie-les-Lys,Intérieur,aed,POINT (2.652978 48.5223857998107),17467
35,2.69682,48.843979599731,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.69682 48.843979599731),17683
35,2.69682,48.843979599731,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.69682 48.843979599731),17809
35,2.69682,48.843979599731,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.69682 48.843979599731),17810
35,2.69682,48.843979599731,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.69682 48.843979599731),17935
35,2.69682,48.843979599731,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.69682 48.843979599731),17936
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),17809
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),17810
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),17935
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),17936
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),18061
36,2.7024329,48.8421615997315,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7024329 48.8421615997315),18062
37,2.7032828,48.8346781997333,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7032828 48.8346781997333),17810
37,2.7032828,48.8346781997333,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7032828 48.8346781997333),17936
37,2.7032828,48.8346781997333,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7032828 48.8346781997333),17937
37,2.7032828,48.8346781997333,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7032828 48.8346781997333),18062
37,2.7032828,48.8346781997333,77058,Bussy-Saint-Georges,Extérieur,aed,POINT (2.7032828 48.8346781997333),18063
38,2.6752387,48.7645504997507,77350,Ozoir-la-Ferrière,Extérieur,aed,POINT (2.6752387 48.7645504997507),17440
38,2.6752387,48.7645504997507,77350,Ozoir-la-Ferrière,Extérieur,aed,POINT (2.6752387 48.7645504997507),17566
38,2.6752387,48.7645504997507,77350,Ozoir-la-Ferrière,Extérieur,aed,POINT (2.6752387 48.7645504997507),17567
38,2.6752387,48.7645504997507,77350,Ozoir-la-Ferrière,Extérieur,aed,POINT (2.6752387 48.7645504997507),17692
39,2.5948884,48.8299895997345,77169,Émerainville,Intérieur,aed,POINT (2.5948884 48.8299895997345),16299
39,2.5948884,48.8299895997345,77169,Émerainville,Intérieur,aed,POINT (2.5948884 48.8299895997345),16424
39,2.5948884,48.8299895997345,77169,Émerainville,Intérieur,aed,POINT (2.5948884 48.8299895997345),16425
39,2.5948884,48.8299895997345,77169,Émerainville,Intérieur,aed,POINT (2.5948884 48.8299895997345),16550
39,2.5948884,48.8299895997345,77169,Émerainville,Intérieur,aed,POINT (2.5948884 48.8299895997345),16551
40,2.595634,48.8262293997354,77169,Émerainville,Intérieur,aed,POINT (2.595634 48.8262293997354),16299
40,2.595634,48.8262293997354,77169,Émerainville,Intérieur,aed,POINT (2.595634 48.8262293997354),16425
40,2.595634,48.8262293997354,77169,Émerainville,Intérieur,aed,POINT (2.595634 48.8262293997354),16426
40,2.595634,48.8262293997354,77169,Émerainville,Intérieur,aed,POINT (2.595634 48.8262293997354),16551
40,2.595634,48.8262293997354,77169,Émerainville,Intérieur,aed,POINT (2.595634 48.8262293997354),16552
41,2.6075396,48.739201199757,77249,Lésigny,Extérieur,aed,POINT (2.6075396 48.739201199757),16435
41,2.6075396,48.739201199757,77249,Lésigny,Extérieur,aed,POINT (2.6075396 48.739201199757),16560
41,2.6075396,48.739201199757,77249,Lésigny,Extérieur,aed,POINT (2.6075396 48.739201199757),16561
41,2.6075396,48.739201199757,77249,Lésigny,Extérieur,aed,POINT (2.6075396 48.739201199757),16686
41,2.6075396,48.739201199757,77249,Lésigny,Extérieur,aed,POINT (2.6075396 48.739201199757),16687
42,2.6036534,48.7009698997665,77053,Brie-Comte-Robert,Intérieur,aed,POINT (2.6036534 48.7009698997665),16439
42,2.6036534,48.7009698997665,77053,Brie-Comte-Robert,Intérieur,aed,POINT (2.6036534 48.7009698997665),16565
42,2.6036534,48.7009698997665,77053,Brie-Comte-Robert,Intérieur,aed,POINT (2.6036534 48.7009698997665),16566
42,2.6036534,48.7009698997665,77053,Brie-Comte-Robert,Intérieur,aed,POINT (2.6036534 48.7009698997665),16691
43,2.6161104,48.7443189997557,77249,Lésigny,Intérieur,aed,POINT (2.6161104 48.7443189997557),16560
43,2.6161104,48.7443189997557,77249,Lésigny,Intérieur,aed,POINT (2.6161104 48.7443189997557),16686
43,2.6161104,48.7443189997557,77249,Lésigny,Intérieur,aed,POINT (2.6161104 48.7443189997557),16687
43,2.6161104,48.7443189997557,77249,Lésigny,Intérieur,aed,POINT (2.6161104 48.7443189997557),16812
43,2.6161104,48.7443189997557,77249,Lésigny,Intérieur,aed,POINT (2.6161104 48.7443189997557),16813
44,2.6238775,48.747483799755,77249,Lésigny,Intérieur,aed,POINT (2.6238775 48.747483799755),16686
44,2.6238775,48.747483799755,77249,Lésigny,Intérieur,aed,POINT (2.6238775 48.747483799755),16811
44,2.6238775,48.747483799755,77249,Lésigny,Intérieur,aed,POINT (2.6238775 48.747483799755),16812
44,2.6238775,48.747483799755,77249,Lésigny,Intérieur,aed,POINT (2.6238775 48.747483799755),16938
45,2.6205143,48.8020992997414,77373,Pontault-Combault,Intérieur,aed,POINT (2.6205143 48.8020992997414),16680
45,2.6205143,48.8020992997414,77373,Pontault-Combault,Intérieur,aed,POINT (2.6205143 48.8020992997414),16805
45,2.6205143,48.8020992997414,77373,Pontault-Combault,Intérieur,aed,POINT (2.6205143 48.8020992997414),16806
45,2.6205143,48.8020992997414,77373,Pontault-Combault,Intérieur,aed,POINT (2.6205143 48.8020992997414),16932
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18061
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18062
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18187
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18188
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18313
46,2.7216708,48.8407706997318,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.7216708 48.8407706997318),18314
47,2.6714855,48.8468481997303,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.6714855 48.8468481997303),17430
47,2.6714855,48.8468481997303,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.6714855 48.8468481997303),17431
47,2.6714855,48.8468481997303,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.6714855 48.8468481997303),17556
47,2.6714855,48.8468481997303,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.6714855 48.8468481997303),17557
47,2.6714855,48.8468481997303,77058,Bussy-Saint-Georges,Intérieur,aed,POINT (2.6714855 48.8468481997303),17683
48,2.6362107,48.8503867997294,77468,Torcy,Intérieur,aed,POINT (2.6362107 48.8503867997294),16926
48,2.6362107,48.8503867997294,77468,Torcy,Intérieur,aed,POINT (2.6362107 48.8503867997294),16927
48,2.6362107,48.8503867997294,77468,Torcy,Intérieur,aed,POINT (2.6362107 48.8503867997294),17052
48,2.6362107,48.8503867997294,77468,Torcy,Intérieur,aed,POINT (2.6362107 48.8503867997294),17053
49,2.6741946,48.8466963997303,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6741946 48.8466963997303),17431
49,2.6741946,48.8466963997303,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6741946 48.8466963997303),17556
49,2.6741946,48.8466963997303,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6741946 48.8466963997303),17557
49,2.6741946,48.8466963997303,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6741946 48.8466963997303),17683
50,2.6742556,48.8374233997326,77121,Collégien,Intérieur,aed,POINT (2.6742556 48.8374233997326),17432
50,2.6742556,48.8374233997326,77121,Collégien,Intérieur,aed,POINT (2.6742556 48.8374233997326),17557
50,2.6742556,48.8374233997326,77121,Collégien,Intérieur,aed,POINT (2.6742556 48.8374233997326),17558
50,2.6742556,48.8374233997326,77121,Collégien,Intérieur,aed,POINT (2.6742556 48.8374233997326),17684
51,2.6742885,48.8390616997322,77121,Collégien,Intérieur,aed,POINT (2.6742885 48.8390616997322),17431
51,2.6742885,48.8390616997322,77121,Collégien,Intérieur,aed,POINT (2.6742885 48.8390616997322),17432
51,2.6742885,48.8390616997322,77121,Collégien,Intérieur,aed,POINT (2.6742885 48.8390616997322),17557
51,2.6742885,48.8390616997322,77121,Collégien,Intérieur,aed,POINT (2.6742885 48.8390616997322),17558
51,2.6742885,48.8390616997322,77121,Collégien,Intérieur,aed,POINT (2.6742885 48.8390616997322),17684
52,2.6714546,48.8574616997277,77438,Saint-Thibault-des-Vignes,Intérieur,aed,POINT (2.6714546 48.8574616997277),17429
52,2.6714546,48.8574616997277,77438,Saint-Thibault-des-Vignes,Intérieur,aed,POINT (2.6714546 48.8574616997277),17430
52,2.6714546,48.8574616997277,77438,Saint-Thibault-des-Vignes,Intérieur,aed,POINT (2.6714546 48.8574616997277),17555
