,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
381,2.7353396,48.7415270997564,Médiathèque,77215,Gretz-Armainvilliers,library,Médiathèque,POINT (2.7353396 48.7415270997564),[18324 18325 18450 18451 18577]
382,2.1922888,48.8982472997176,Missing,92050,Nanterre,library,Dépôt à livres,POINT (2.1922888 48.8982472997176),[10621 10747 10748 10873 10874]
383,2.1976961,48.8917499997192,Missing,92050,Nanterre,library,Dépôt à livres,POINT (2.1976961 48.8917499997192),[10748 10873 10874 11000]
384,2.2724601,48.7619421997514,Bibliothèque universitaire Châtenay-Malabry Pharmacie,92019,Châtenay-Malabry,library,Bibliothèque,POINT (2.2724601 48.7619421997514),[11770 11896 11897 12022 12023]
385,2.0979287,48.6282063997845,Missing,91249,Forges-les-Bains,library,Dépôt à livres,POINT (2.0979287 48.6282063997845),[9391 9392 9517 9518 9643]
386,2.353131,48.811797699739,Bibliothèque universitaire Kremlin-Bicêtre Médecine,94043,Le Kremlin-Bicêtre,library,Bibliothèque,POINT (2.353131 48.811797699739),[12899 13024 13025 13150 13151]
387,2.3212149,48.8184477997373,Médiathèque,92049,Montrouge,library,Médiathèque,POINT (2.3212149 48.8184477997373),[12520 12646 12647 12772]
388,2.0035836,48.9793745996974,Missing,78624,Triel-sur-Seine,library,Bibliothèque,POINT (2.0035836 48.9793745996974),[7966 8092 8093 8218 8219]
389,1.9730537,48.6720531997737,Missing,78128,Cernay-la-Ville,library,Bibliothèque,POINT (1.9730537 48.6720531997737),[7622 7623 7748 7749 7874 7875]
390,2.4836646,48.9435191997063,Jules Verne,93005,Aulnay-sous-Bois,library,Bibliothèque,POINT (2.4836646 48.9435191997063),[14774 14775 14900 14901 15026]
391,2.2634132,48.9699900996998,Boîte à livres,95582,Sannois,library,Dépôt à livres,POINT (2.2634132 48.9699900996998),[11621 11747 11748 11873 11874]
392,2.0781918,49.0360647996834,Bibliothèque de l'Astrolabe,95127,Cergy,library,Bibliothèque,POINT (2.0781918 49.0360647996834),[9093 9094 9219 9220 9346]
393,2.0783104,49.0361243996834,Bibliothèque d'Etude et d'Information,95127,Cergy,library,Bibliothèque,POINT (2.0783104 49.0361243996834),[9093 9094 9219 9220 9346]
394,2.3265847,48.8132727997386,Missing,92049,Montrouge,library,Dépôt à livres,POINT (2.3265847 48.8132727997386),[12521 12646 12647 12772 12773]
395,2.3238585,48.8127568997388,Missing,92049,Montrouge,library,Dépôt à livres,POINT (2.3238585 48.8127568997388),[12520 12521 12646 12647 12772 12773]
396,2.3125496,48.8207439997368,Missing,92049,Montrouge,library,Dépôt à livres,POINT (2.3125496 48.8207439997368),[12393 12394 12519 12520 12646]
397,2.311826,48.8112348997391,Missing,92049,Montrouge,library,Dépôt à livres,POINT (2.311826 48.8112348997391),[12394 12395 12520 12521 12647]
398,2.307177,48.8142694997384,Centre d'information et d'orientation,92049,Montrouge,library,Bibliothèque,POINT (2.307177 48.8142694997384),[12268 12269 12394 12395 12520 12521]
399,2.3374276,48.7799281997469,Boite à livres,94038,L'Haÿ-les-Roses,library,Dépôt à livres,POINT (2.3374276 48.7799281997469),[12776 12777 12902 12903]
400,2.3260222,48.775420499748,Boite à livres,94038,L'Haÿ-les-Roses,library,Dépôt à livres,POINT (2.3260222 48.775420499748),[12525 12650 12651 12777]
401,2.4040544,48.8715569997242,Missing,75056,Paris,library,Dépôt à livres,POINT (2.4040544 48.8715569997242),[13648 13774 13775 13900]
402,2.3621523,48.7034987997659,Médiathèque René Goscinny,91027,Athis-Mons,library,Médiathèque,POINT (2.3621523 48.7034987997659),[13037 13162 13163 13289]
403,2.4069142,48.8766222997229,Missing,75056,Paris,library,Dépôt à livres,POINT (2.4069142 48.8766222997229),[13647 13648 13773 13774 13899 13900]
404,2.3591982,48.7680767997499,Missing,94021,Chevilly-Larue,library,Dépôt à livres,POINT (2.3591982 48.7680767997499),[13029 13030 13155 13156 13281 13282]
405,2.0808447,49.0372666996831,Bibliothèque universitaire,95127,Cergy,library,Bibliothèque,POINT (2.0808447 49.0372666996831),[9093 9094 9219 9220 9346]
406,2.3474992,48.7459966997553,Missing,94065,Rungis,library,Dépôt à livres,POINT (2.3474992 48.7459966997553),[12906 12907 13032 13033 13158]
407,2.0597666,48.5658471997999,Missing,91630,Le Val-Saint-Germain,library,Dépôt à livres,POINT (2.0597666 48.5658471997999),[8894 8895 9020 9021 9146]
408,2.6339349,48.8392769997322,Missing,77258,Lognes,library,Dépôt à livres,POINT (2.6339349 48.8392769997322),[16802 16927 16928 17053 17054]
409,2.150787,48.8487841997298,Missing,78126,La Celle-Saint-Cloud,library,Dépôt à livres,POINT (2.150787 48.8487841997298),[10122 10123 10248 10249 10375]
410,2.2985478,48.8091598997397,Missing,92020,Châtillon,library,Dépôt à livres,POINT (2.2985478 48.8091598997397),[12143 12269 12270 12395]
411,2.3620932,48.8637083997261,Paris Boutik,75056,Paris,library,Bibliothèque,POINT (2.3620932 48.8637083997261),[13019 13145 13146 13271]
412,2.2850484,49.0082444996903,Médiathèque Victor Hugo,95426,Montlignon,library,Médiathèque,POINT (2.2850484 49.0082444996903),[11995 12120 12121 12247]
413,2.2713999,48.7530587997536,Partageons le Goût de Lire,91645,Verrières-le-Buisson,library,Dépôt à livres,POINT (2.2713999 48.7530587997536),[11771 11772 11897 11898 12023 12024]
414,2.4459857,48.9111576997144,CDI,93008,Bobigny,library,Bibliothèque,POINT (2.4459857 48.9111576997144),[14273 14274 14399 14400]
415,2.6374718,48.8731758997238,Médiathèque Jean-Sterlin,77479,Vaires-sur-Marne,library,Médiathèque,POINT (2.6374718 48.8731758997238),[16924 17049 17050 17176]
416,1.9002974,48.8017337997415,Médiathèque de Frontenac,78321,Jouars-Pontchartrain,library,Médiathèque,POINT (1.9002974 48.8017337997415),[6600 6725 6726 6852]
417,2.1980228,48.8914594997192,Médiathèque musicale,92050,Nanterre,library,Médiathèque,POINT (2.1980228 48.8914594997192),[10748 10873 10874 11000]
418,2.4411176,48.8497033997296,Missing,94080,Vincennes,library,Dépôt à livres,POINT (2.4411176 48.8497033997296),[14154 14155 14280 14281 14406 14407]
419,2.4519093,48.8470240997303,Missing,94080,Vincennes,library,Dépôt à livres,POINT (2.4519093 48.8470240997303),[14281 14406 14407 14533]
