,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
3905,2.8120967,48.9015226997167,bank,77171,Esbly,banque,Société Générale,POINT (2.8120967 48.9015226997167),[19315 19440 19441 19566 19567]
3906,2.8120755,48.9015508997167,atm,77171,Esbly,banque,Société Générale,POINT (2.8120755 48.9015508997167),[19315 19440 19441 19566 19567]
3907,2.8116807,48.900503199717,atm,77171,Esbly,banque,Crédit Agricole,POINT (2.8116807 48.900503199717),[19315 19440 19441 19567]
3908,2.8116202,48.900501099717,bank,77171,Esbly,banque,Crédit Agricole,POINT (2.8116202 48.900501099717),[19315 19440 19441 19567]
3909,2.5209412,48.8375721997326,bank,94015,Bry-sur-Marne,banque,BRED/Banque populaire,POINT (2.5209412 48.8375721997326),[15290 15415 15416 15542]
3910,2.5224171,48.8389712997323,bank,94015,Bry-sur-Marne,banque,Crédit Mutuel,POINT (2.5224171 48.8389712997323),[15290 15415 15416 15542]
3911,2.0600562,48.8028890997412,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0600562 48.8028890997412),[8867 8868 8993 8994 9120]
3912,2.0619135,48.8034008997411,bank,78545,Saint-Cyr-l'École,banque,Crédit Mutuel,POINT (2.0619135 48.8034008997411),[8867 8868 8993 8994 9120]
3913,2.5100045,48.8129252997387,bank,94017,Champigny-sur-Marne,banque,Crédit Mutuel,POINT (2.5100045 48.8129252997387),[15166 15167 15292 15293 15419]
3914,2.5043417,48.8154831997381,bank,94017,Champigny-sur-Marne,banque,,POINT (2.5043417 48.8154831997381),[15040 15041 15166 15167 15292 15293]
3915,2.5070711,48.8147423997383,atm,94017,Champigny-sur-Marne,banque,Banque Postale,POINT (2.5070711 48.8147423997383),[15040 15166 15167 15292 15293]
3916,2.5050598,48.8153176997381,bank,94017,Champigny-sur-Marne,banque,,POINT (2.5050598 48.8153176997381),[15040 15041 15166 15167 15292 15293]
